"Time","Loki Moscow - MOEX - USD/RUB_T+1 - 1 - ask"
2022-09-21 09:19:10,61.2
2022-09-21 09:19:15,61.2
2022-09-21 09:19:20,61.2
2022-09-21 09:19:25,61.2
2022-09-21 09:19:30,61.2
2022-09-21 09:19:35,61.2
2022-09-21 09:19:40,61.2
2022-09-21 09:19:45,61.2
2022-09-21 09:19:50,61.1
2022-09-21 09:19:55,61.1
2022-09-21 09:20:00,61.1
2022-09-21 09:20:05,61.2
2022-09-21 09:20:10,61.2
2022-09-21 09:20:15,61.2
2022-09-21 09:20:20,61.2
2022-09-21 09:20:25,61.2
2022-09-21 09:20:30,61.2
2022-09-21 09:20:35,61.2
2022-09-21 09:20:40,61.2
2022-09-21 09:20:45,61.2
2022-09-21 09:20:50,61.2
2022-09-21 09:20:55,61.2
2022-09-21 09:21:00,61.2
2022-09-21 09:21:05,61.2
2022-09-21 09:21:10,61.2
2022-09-21 09:21:15,61.2
2022-09-21 09:21:20,61.2
2022-09-21 09:21:25,61.2
2022-09-21 09:21:30,61.2
2022-09-21 09:21:35,61.2
2022-09-21 09:21:40,61.2
2022-09-21 09:21:45,61.2
2022-09-21 09:21:50,61.2
2022-09-21 09:21:55,61.2
2022-09-21 09:22:00,61.2
2022-09-21 09:22:05,61.2
2022-09-21 09:22:10,61.2
2022-09-21 09:22:15,61.2
2022-09-21 09:22:20,61.2
2022-09-21 09:22:25,61.2
2022-09-21 09:22:30,61.2
2022-09-21 09:22:35,61.2
2022-09-21 09:22:40,61.2
2022-09-21 09:22:45,61.2
2022-09-21 09:22:50,61.2
2022-09-21 09:22:55,61.2
2022-09-21 09:23:00,61.2
2022-09-21 09:23:05,61.2
2022-09-21 09:23:10,61.2
2022-09-21 09:23:15,61.2
2022-09-21 09:23:20,61.2
2022-09-21 09:23:25,61.2
2022-09-21 09:23:30,61.2
2022-09-21 09:23:35,61.2
2022-09-21 09:23:40,61.2
2022-09-21 09:23:45,61.2
2022-09-21 09:23:50,61.2
2022-09-21 09:23:55,61.2
2022-09-21 09:24:00,61.2
2022-09-21 09:24:05,61.3
2022-09-21 09:24:10,61.3
2022-09-21 09:24:15,61.3
2022-09-21 09:24:20,61.2
2022-09-21 09:24:25,61.2
2022-09-21 09:24:30,61.2
2022-09-21 09:24:35,61.2
2022-09-21 09:24:40,61.2
2022-09-21 09:24:45,61.2
2022-09-21 09:24:50,61.2
2022-09-21 09:24:55,61.2
2022-09-21 09:25:00,61.2
2022-09-21 09:25:05,61.3
2022-09-21 09:25:10,61.3
2022-09-21 09:25:15,61.3
2022-09-21 09:25:20,61.2
2022-09-21 09:25:25,61.2
2022-09-21 09:25:30,61.2
2022-09-21 09:25:35,61.2
2022-09-21 09:25:40,61.2
2022-09-21 09:25:45,61.2
2022-09-21 09:25:50,61.2
2022-09-21 09:25:55,61.2
2022-09-21 09:26:00,61.2
2022-09-21 09:26:05,61.2
2022-09-21 09:26:10,61.2
2022-09-21 09:26:15,61.2
2022-09-21 09:26:20,61.2
2022-09-21 09:26:25,61.2
2022-09-21 09:26:30,61.2
2022-09-21 09:26:35,61.3
2022-09-21 09:26:40,61.3
2022-09-21 09:26:45,61.3
2022-09-21 09:26:50,61.2
2022-09-21 09:26:55,61.2
2022-09-21 09:27:00,61.2
2022-09-21 09:27:05,61.3
2022-09-21 09:27:10,61.3
2022-09-21 09:27:15,61.3
2022-09-21 09:27:20,61.3
2022-09-21 09:27:25,61.3
2022-09-21 09:27:30,61.3
2022-09-21 09:27:35,61.3
2022-09-21 09:27:40,61.3
2022-09-21 09:27:45,61.3
2022-09-21 09:27:50,61.3
2022-09-21 09:27:55,61.3
2022-09-21 09:28:00,61.3
2022-09-21 09:28:05,61.3
2022-09-21 09:28:10,61.3
2022-09-21 09:28:15,61.3
2022-09-21 09:28:20,61.2
2022-09-21 09:28:25,61.2
2022-09-21 09:28:30,61.2
2022-09-21 09:28:35,61.2
2022-09-21 09:28:40,61.2
2022-09-21 09:28:45,61.2
2022-09-21 09:28:50,61.2
2022-09-21 09:28:55,61.2
2022-09-21 09:29:00,61.2
2022-09-21 09:29:05,61.3
2022-09-21 09:29:10,61.3
2022-09-21 09:29:15,61.3
2022-09-21 09:29:20,61.3
2022-09-21 09:29:25,61.3
2022-09-21 09:29:30,61.3
2022-09-21 09:29:35,61.2
2022-09-21 09:29:40,61.2
2022-09-21 09:29:45,61.2
2022-09-21 09:29:50,61.3
2022-09-21 09:29:55,61.3
2022-09-21 09:30:00,61.3
2022-09-21 09:30:05,61.3
2022-09-21 09:30:10,61.3
2022-09-21 09:30:15,61.3
2022-09-21 09:30:20,61.3
2022-09-21 09:30:25,61.3
2022-09-21 09:30:30,61.3
2022-09-21 09:30:35,61.3
2022-09-21 09:30:40,61.3
2022-09-21 09:30:45,61.3
2022-09-21 09:30:50,61.4
2022-09-21 09:30:55,61.4
2022-09-21 09:31:00,61.4
2022-09-21 09:31:05,61.4
2022-09-21 09:31:10,61.4
2022-09-21 09:31:15,61.4
2022-09-21 09:31:20,61.5
2022-09-21 09:31:25,61.5
2022-09-21 09:31:30,61.5
2022-09-21 09:31:35,61.5
2022-09-21 09:31:40,61.5
2022-09-21 09:31:45,61.5
2022-09-21 09:31:50,61.5
2022-09-21 09:31:55,61.5
2022-09-21 09:32:00,61.5
2022-09-21 09:32:05,61.5
2022-09-21 09:32:10,61.5
2022-09-21 09:32:15,61.5
2022-09-21 09:32:20,61.6
2022-09-21 09:32:25,61.6
2022-09-21 09:32:30,61.6
2022-09-21 09:32:35,61.7
2022-09-21 09:32:40,61.7
2022-09-21 09:32:45,61.7
2022-09-21 09:32:50,62.0
2022-09-21 09:32:55,62.0
2022-09-21 09:33:00,62.0
2022-09-21 09:33:05,62.0
2022-09-21 09:33:10,62.0
2022-09-21 09:33:15,62.0
2022-09-21 09:33:20,61.9
2022-09-21 09:33:25,61.9
2022-09-21 09:33:30,61.9
2022-09-21 09:33:35,62.0
2022-09-21 09:33:40,62.0
2022-09-21 09:33:45,62.0
2022-09-21 09:33:50,61.9
2022-09-21 09:33:55,61.9
2022-09-21 09:34:00,61.9
2022-09-21 09:34:05,62.0
2022-09-21 09:34:10,62.0
2022-09-21 09:34:15,62.0
2022-09-21 09:34:20,62.0
2022-09-21 09:34:25,62.0
2022-09-21 09:34:30,62.0
2022-09-21 09:34:35,62.0
2022-09-21 09:34:40,62.0
2022-09-21 09:34:45,62.0
2022-09-21 09:34:50,62.0
2022-09-21 09:34:55,62.0
2022-09-21 09:35:00,62.0
2022-09-21 09:35:05,62.2
2022-09-21 09:35:10,62.2
2022-09-21 09:35:15,62.2
2022-09-21 09:35:20,62.2
2022-09-21 09:35:25,62.2
2022-09-21 09:35:30,62.2
2022-09-21 09:35:35,62.1
2022-09-21 09:35:40,62.1
2022-09-21 09:35:45,62.1
2022-09-21 09:35:50,62.1
2022-09-21 09:35:55,62.1
2022-09-21 09:36:00,62.1
2022-09-21 09:36:05,62.1
2022-09-21 09:36:10,62.1
2022-09-21 09:36:15,62.1
2022-09-21 09:36:20,62.1
2022-09-21 09:36:25,62.1
2022-09-21 09:36:30,62.1
2022-09-21 09:36:35,62.0
2022-09-21 09:36:40,62.0
2022-09-21 09:36:45,62.0
2022-09-21 09:36:50,62
2022-09-21 09:36:55,62
2022-09-21 09:37:00,62
2022-09-21 09:37:05,62.2
2022-09-21 09:37:10,62.2
2022-09-21 09:37:15,62.2
2022-09-21 09:37:20,62.2
2022-09-21 09:37:25,62.2
2022-09-21 09:37:30,62.2
2022-09-21 09:37:35,62.2
2022-09-21 09:37:40,62.2
2022-09-21 09:37:45,62.2
2022-09-21 09:37:50,62.1
2022-09-21 09:37:55,62.1
2022-09-21 09:38:00,62.1
2022-09-21 09:38:05,62.1
2022-09-21 09:38:10,62.1
2022-09-21 09:38:15,62.1
2022-09-21 09:38:20,62.1
2022-09-21 09:38:25,62.1
2022-09-21 09:38:30,62.1
2022-09-21 09:38:35,62.1
2022-09-21 09:38:40,62.1
2022-09-21 09:38:45,62.1
2022-09-21 09:38:50,62.1
2022-09-21 09:38:55,62.1
2022-09-21 09:39:00,62.1
2022-09-21 09:39:05,62.1
2022-09-21 09:39:10,62.1
2022-09-21 09:39:15,62.1
2022-09-21 09:39:20,62.1
2022-09-21 09:39:25,62.1
2022-09-21 09:39:30,62.1
2022-09-21 09:39:35,62.1
2022-09-21 09:39:40,62.1
2022-09-21 09:39:45,62.1
2022-09-21 09:39:50,62.2
2022-09-21 09:39:55,62.2
2022-09-21 09:40:00,62.2
2022-09-21 09:40:05,62.3
2022-09-21 09:40:10,62.3
2022-09-21 09:40:15,62.3
2022-09-21 09:40:20,62.4
2022-09-21 09:40:25,62.4
2022-09-21 09:40:30,62.4
2022-09-21 09:40:35,62.4
2022-09-21 09:40:40,62.4
2022-09-21 09:40:45,62.4
2022-09-21 09:40:50,62.4
2022-09-21 09:40:55,62.4
2022-09-21 09:41:00,62.4
2022-09-21 09:41:05,62.5
2022-09-21 09:41:10,62.5
2022-09-21 09:41:15,62.5
2022-09-21 09:41:20,62.5
2022-09-21 09:41:25,62.5
2022-09-21 09:41:30,62.5
2022-09-21 09:41:35,62.5
2022-09-21 09:41:40,62.5
2022-09-21 09:41:45,62.5
2022-09-21 09:41:50,62.5
2022-09-21 09:41:55,62.5
2022-09-21 09:42:00,62.5
2022-09-21 09:42:05,62.6
2022-09-21 09:42:10,62.6
2022-09-21 09:42:15,62.6
2022-09-21 09:42:20,62.5
2022-09-21 09:42:25,62.5
2022-09-21 09:42:30,62.5
2022-09-21 09:42:35,62.4
2022-09-21 09:42:40,62.4
2022-09-21 09:42:45,62.4
2022-09-21 09:42:50,62.2
2022-09-21 09:42:55,62.2
2022-09-21 09:43:00,62.2
2022-09-21 09:43:05,62
2022-09-21 09:43:10,62
2022-09-21 09:43:15,62
2022-09-21 09:43:20,62.0
2022-09-21 09:43:25,62.0
2022-09-21 09:43:30,62.0
2022-09-21 09:43:35,62.0
2022-09-21 09:43:40,62.0
2022-09-21 09:43:45,62.0
2022-09-21 09:43:50,62.0
2022-09-21 09:43:55,62.0
2022-09-21 09:44:00,62.0
2022-09-21 09:44:05,62.1
2022-09-21 09:44:10,62.1
2022-09-21 09:44:15,62.1
2022-09-21 09:44:20,62.2
2022-09-21 09:44:25,62.2
2022-09-21 09:44:30,62.2
2022-09-21 09:44:35,62.2
2022-09-21 09:44:40,62.2
2022-09-21 09:44:45,62.2
2022-09-21 09:44:50,62.2
2022-09-21 09:44:55,62.2
2022-09-21 09:45:00,62.2
2022-09-21 09:45:05,62.2
2022-09-21 09:45:10,62.2
2022-09-21 09:45:15,62.2
2022-09-21 09:45:20,62.1
2022-09-21 09:45:25,62.1
2022-09-21 09:45:30,62.1
2022-09-21 09:45:35,62.3
2022-09-21 09:45:40,62.3
2022-09-21 09:45:45,62.3
2022-09-21 09:45:50,62.3
2022-09-21 09:45:55,62.3
2022-09-21 09:46:00,62.3
2022-09-21 09:46:05,62.3
2022-09-21 09:46:10,62.3
2022-09-21 09:46:15,62.3
2022-09-21 09:46:20,62.3
2022-09-21 09:46:25,62.3
2022-09-21 09:46:30,62.3
2022-09-21 09:46:35,62.2
2022-09-21 09:46:40,62.2
2022-09-21 09:46:45,62.2
2022-09-21 09:46:50,62.2
2022-09-21 09:46:55,62.2
2022-09-21 09:47:00,62.2
2022-09-21 09:47:05,62.1
2022-09-21 09:47:10,62.1
2022-09-21 09:47:15,62.1
2022-09-21 09:47:20,62.1
2022-09-21 09:47:25,62.1
2022-09-21 09:47:30,62.1
2022-09-21 09:47:35,61.9
2022-09-21 09:47:40,61.9
2022-09-21 09:47:45,61.9
2022-09-21 09:47:50,61.8
2022-09-21 09:47:55,61.8
2022-09-21 09:48:00,61.8
2022-09-21 09:48:05,61.9
2022-09-21 09:48:10,61.9
2022-09-21 09:48:15,61.9
2022-09-21 09:48:20,61.9
2022-09-21 09:48:25,61.9
2022-09-21 09:48:30,61.9
2022-09-21 09:48:35,62.0
2022-09-21 09:48:40,62.0
2022-09-21 09:48:45,62.0
2022-09-21 09:48:50,61.9
2022-09-21 09:48:55,61.9
2022-09-21 09:49:00,61.9
2022-09-21 09:49:05,61.9
2022-09-21 09:49:10,61.9
2022-09-21 09:49:15,61.9
2022-09-21 09:49:20,62.0
2022-09-21 09:49:25,62.0
2022-09-21 09:49:30,62.0
2022-09-21 09:49:35,62.0
2022-09-21 09:49:40,62.0
2022-09-21 09:49:45,62.0
2022-09-21 09:49:50,62.0
2022-09-21 09:49:55,62.0
2022-09-21 09:50:00,62.0
2022-09-21 09:50:05,61.9
2022-09-21 09:50:10,61.9
2022-09-21 09:50:15,61.9
2022-09-21 09:50:20,61.9
2022-09-21 09:50:25,61.9
2022-09-21 09:50:30,61.9
2022-09-21 09:50:35,61.9
2022-09-21 09:50:40,61.9
2022-09-21 09:50:45,61.9
2022-09-21 09:50:50,61.9
2022-09-21 09:50:55,61.9
2022-09-21 09:51:00,61.9
2022-09-21 09:51:05,61.9
2022-09-21 09:51:10,61.9
2022-09-21 09:51:15,61.9
2022-09-21 09:51:20,61.9
2022-09-21 09:51:25,61.9
2022-09-21 09:51:30,61.9
2022-09-21 09:51:35,61.9
2022-09-21 09:51:40,61.9
2022-09-21 09:51:45,61.9
2022-09-21 09:51:50,62.0
2022-09-21 09:51:55,62.0
2022-09-21 09:52:00,62.0
2022-09-21 09:52:05,61.9
2022-09-21 09:52:10,61.9
2022-09-21 09:52:15,61.9
2022-09-21 09:52:20,62.0
2022-09-21 09:52:25,62.0
2022-09-21 09:52:30,62.0
2022-09-21 09:52:35,61.9
2022-09-21 09:52:40,61.9
2022-09-21 09:52:45,61.9
2022-09-21 09:52:50,61.9
2022-09-21 09:52:55,61.9
2022-09-21 09:53:00,61.9
2022-09-21 09:53:05,61.9
2022-09-21 09:53:10,61.9
2022-09-21 09:53:15,61.9
2022-09-21 09:53:20,61.9
2022-09-21 09:53:25,61.9
2022-09-21 09:53:30,61.9
2022-09-21 09:53:35,61.9
2022-09-21 09:53:40,61.9
2022-09-21 09:53:45,61.9
2022-09-21 09:53:50,61.9
2022-09-21 09:53:55,61.9
2022-09-21 09:54:00,61.9
2022-09-21 09:54:05,61.9
2022-09-21 09:54:10,61.9
2022-09-21 09:54:15,61.9
2022-09-21 09:54:20,61.9
2022-09-21 09:54:25,61.9
2022-09-21 09:54:30,61.9
2022-09-21 09:54:35,62.0
2022-09-21 09:54:40,62.0
2022-09-21 09:54:45,62.0
2022-09-21 09:54:50,62.1
2022-09-21 09:54:55,62.1
2022-09-21 09:55:00,62.1
2022-09-21 09:55:05,62.0
2022-09-21 09:55:10,62.0
2022-09-21 09:55:15,62.0
2022-09-21 09:55:20,62.1
2022-09-21 09:55:25,62.1
2022-09-21 09:55:30,62.1
2022-09-21 09:55:35,62.0
2022-09-21 09:55:40,62.0
2022-09-21 09:55:45,62.0
2022-09-21 09:55:50,62.1
2022-09-21 09:55:55,62.1
2022-09-21 09:56:00,62.1
2022-09-21 09:56:05,62.1
2022-09-21 09:56:10,62.1
2022-09-21 09:56:15,62.1
2022-09-21 09:56:20,62.1
2022-09-21 09:56:25,62.1
2022-09-21 09:56:30,62.1
2022-09-21 09:56:35,62.1
2022-09-21 09:56:40,62.1
2022-09-21 09:56:45,62.1
2022-09-21 09:56:50,62.0
2022-09-21 09:56:55,62.0
2022-09-21 09:57:00,62.0
2022-09-21 09:57:05,62.0
2022-09-21 09:57:10,62.0
2022-09-21 09:57:15,62.0
2022-09-21 09:57:20,62.0
2022-09-21 09:57:25,62.0
2022-09-21 09:57:30,62.0
2022-09-21 09:57:35,62.0
2022-09-21 09:57:40,62.0
2022-09-21 09:57:45,62.0
2022-09-21 09:57:50,62.0
2022-09-21 09:57:55,62.0
2022-09-21 09:58:00,62.0
2022-09-21 09:58:05,62.0
2022-09-21 09:58:10,62.0
2022-09-21 09:58:15,62.0
2022-09-21 09:58:20,62.0
2022-09-21 09:58:25,62.0
2022-09-21 09:58:30,62.0
2022-09-21 09:58:35,62.0
2022-09-21 09:58:40,62.0
2022-09-21 09:58:45,62.0
2022-09-21 09:58:50,62.0
2022-09-21 09:58:55,62.0
2022-09-21 09:59:00,62.0
2022-09-21 09:59:05,62.0
2022-09-21 09:59:10,62.0
2022-09-21 09:59:15,62.0
2022-09-21 09:59:20,62.0
2022-09-21 09:59:25,62.0
2022-09-21 09:59:30,62.0
2022-09-21 09:59:35,62.0
2022-09-21 09:59:40,62.0
2022-09-21 09:59:45,62.0
2022-09-21 09:59:50,62.0
2022-09-21 09:59:55,62.0
2022-09-21 10:00:00,62.0
2022-09-21 10:00:05,62.0
2022-09-21 10:00:10,62.0
2022-09-21 10:00:15,62.0
2022-09-21 10:00:20,62.0
2022-09-21 10:00:25,62.0
2022-09-21 10:00:30,62.0
2022-09-21 10:00:35,62.0
2022-09-21 10:00:40,62.0
2022-09-21 10:00:45,62.0
2022-09-21 10:00:50,62.0
2022-09-21 10:00:55,62.0
2022-09-21 10:01:00,62.0
2022-09-21 10:01:05,62.0
2022-09-21 10:01:10,62.0
2022-09-21 10:01:15,62.0
2022-09-21 10:01:20,62.0
2022-09-21 10:01:25,62.0
2022-09-21 10:01:30,62.0
2022-09-21 10:01:35,62.0
2022-09-21 10:01:40,62.0
2022-09-21 10:01:45,62.0
2022-09-21 10:01:50,62.0
2022-09-21 10:01:55,62.0
2022-09-21 10:02:00,62.0
2022-09-21 10:02:05,62.0
2022-09-21 10:02:10,62.0
2022-09-21 10:02:15,62.0
2022-09-21 10:02:20,62.0
2022-09-21 10:02:25,62.0
2022-09-21 10:02:30,62.0
2022-09-21 10:02:35,62.0
2022-09-21 10:02:40,62.0
2022-09-21 10:02:45,62.0
2022-09-21 10:02:50,62.0
2022-09-21 10:02:55,62.0
2022-09-21 10:03:00,62.0
2022-09-21 10:03:05,62.1
2022-09-21 10:03:10,62.1
2022-09-21 10:03:15,62.1
2022-09-21 10:03:20,62.0
2022-09-21 10:03:25,62.0
2022-09-21 10:03:30,62.0
2022-09-21 10:03:35,62.1
2022-09-21 10:03:40,62.1
2022-09-21 10:03:45,62.1
2022-09-21 10:03:50,62.1
2022-09-21 10:03:55,62.1
2022-09-21 10:04:00,62.1
2022-09-21 10:04:05,62.3
2022-09-21 10:04:10,62.3
2022-09-21 10:04:15,62.3
2022-09-21 10:04:20,62.5
2022-09-21 10:04:25,62.5
2022-09-21 10:04:30,62.5
2022-09-21 10:04:35,62.5
2022-09-21 10:04:40,62.5
2022-09-21 10:04:45,62.5
2022-09-21 10:04:50,62.5
2022-09-21 10:04:55,62.5
2022-09-21 10:05:00,62.5
2022-09-21 10:05:05,62.5
2022-09-21 10:05:10,62.5
2022-09-21 10:05:15,62.5
2022-09-21 10:05:20,62.6
2022-09-21 10:05:25,62.6
2022-09-21 10:05:30,62.6
2022-09-21 10:05:35,62.6
2022-09-21 10:05:40,62.6
2022-09-21 10:05:45,62.6
2022-09-21 10:05:50,62.8
2022-09-21 10:05:55,62.8
2022-09-21 10:06:00,62.8
2022-09-21 10:06:05,62.6
2022-09-21 10:06:10,62.6
2022-09-21 10:06:15,62.6
2022-09-21 10:06:20,62.6
2022-09-21 10:06:25,62.6
2022-09-21 10:06:30,62.6
2022-09-21 10:06:35,62.4
2022-09-21 10:06:40,62.4
2022-09-21 10:06:45,62.4
2022-09-21 10:06:50,62.3
2022-09-21 10:06:55,62.3
2022-09-21 10:07:00,62.3
2022-09-21 10:07:05,62.3
2022-09-21 10:07:10,62.3
2022-09-21 10:07:15,62.3
2022-09-21 10:07:20,62.3
2022-09-21 10:07:25,62.3
2022-09-21 10:07:30,62.3
2022-09-21 10:07:35,62.2
2022-09-21 10:07:40,62.2
2022-09-21 10:07:45,62.2
2022-09-21 10:07:50,62.3
2022-09-21 10:07:55,62.3
2022-09-21 10:08:00,62.3
2022-09-21 10:08:05,62.3
2022-09-21 10:08:10,62.3
2022-09-21 10:08:15,62.3
2022-09-21 10:08:20,62.3
2022-09-21 10:08:25,62.3
2022-09-21 10:08:30,62.3
2022-09-21 10:08:35,62.3
2022-09-21 10:08:40,62.3
2022-09-21 10:08:45,62.3
2022-09-21 10:08:50,62.2
2022-09-21 10:08:55,62.2
2022-09-21 10:09:00,62.2
2022-09-21 10:09:05,62.2
2022-09-21 10:09:10,62.2
2022-09-21 10:09:15,62.2
2022-09-21 10:09:20,62.2
2022-09-21 10:09:25,62.2
2022-09-21 10:09:30,62.2
2022-09-21 10:09:35,62.1
2022-09-21 10:09:40,62.1
2022-09-21 10:09:45,62.1
2022-09-21 10:09:50,62.1
2022-09-21 10:09:55,62.1
2022-09-21 10:10:00,62.1
2022-09-21 10:10:05,62.1
2022-09-21 10:10:10,62.1
2022-09-21 10:10:15,62.1
2022-09-21 10:10:20,62.0
2022-09-21 10:10:25,62.0
2022-09-21 10:10:30,62.0
2022-09-21 10:10:35,62.0
2022-09-21 10:10:40,62.0
2022-09-21 10:10:45,62.0
2022-09-21 10:10:50,62.0
2022-09-21 10:10:55,62.0
2022-09-21 10:11:00,62.0
2022-09-21 10:11:05,62.0
2022-09-21 10:11:10,62.0
2022-09-21 10:11:15,62.0
2022-09-21 10:11:20,62.0
2022-09-21 10:11:25,62.0
2022-09-21 10:11:30,62.0
2022-09-21 10:11:35,62.0
2022-09-21 10:11:40,62.0
2022-09-21 10:11:45,62.0
2022-09-21 10:11:50,62.0
2022-09-21 10:11:55,62.0
2022-09-21 10:12:00,62.0
2022-09-21 10:12:05,62.0
2022-09-21 10:12:10,62.0
2022-09-21 10:12:15,62.0
2022-09-21 10:12:20,62.0
2022-09-21 10:12:25,62.0
2022-09-21 10:12:30,62.0
2022-09-21 10:12:35,62.0
2022-09-21 10:12:40,62.0
2022-09-21 10:12:45,62.0
2022-09-21 10:12:50,62.0
2022-09-21 10:12:55,62.0
2022-09-21 10:13:00,62.0
2022-09-21 10:13:05,62.0
2022-09-21 10:13:10,62.0
2022-09-21 10:13:15,62.0
2022-09-21 10:13:20,62.0
2022-09-21 10:13:25,62.0
